year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available
2010,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,0,6.11,19.9,1.21,1.22,0.61,1.21589,0.0058899999999999,False,19.96726677577741,9.983633387888704,False,,,,False,,,,100.82644628099173,50.413223140495866,2.6,13,31.060000000000002,13.217021276595744,False,True
2011,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,1,5.85,16.3,0.96,1.17,0.59,0.95355,0.0064499999999999,False,20.0,10.085470085470083,False,2010,6.11,1.21,True,-4.255319148936176,-0.2600000000000007,-20.661157024793386,121.875,61.458333333333336,2.341873498799039,13,36.25,14.511609287429945,True,True
2012,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,2,5.36,19.0,1.02,1.07,0.54,1.0184,0.0016,False,19.962686567164177,10.07462686567164,False,2011,5.85,0.96,True,-8.376068376068368,-0.4899999999999993,6.25,104.90196078431373,52.94117647058824,2.0099748753140587,14,39.980000000000004,14.99231259609255,True,True
2013,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,3,5.14,16.0,0.82,1.03,0.51,0.8223999999999999,0.0023999999999999,False,20.038910505836576,9.922178988326849,False,2012,5.36,1.02,True,-4.104477611940305,-0.22000000000000064,-19.60784313725491,125.60975609756098,62.19512195121951,1.8084582365772994,17,47.26,16.627964253043416,True,True
2014,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,4,4.5,18.5,0.84,0.9,0.45,0.8325,0.0074999999999999,False,20.0,10.0,False,2013,5.14,0.82,True,-12.45136186770427,-0.6399999999999997,2.4390243902439046,107.14285714285714,53.57142857142857,1.5370427297878881,21,48.88,16.695699696007107,True,True
2015,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,5,3.96,23.0,0.91,0.79,0.4,0.9108,0.0007999999999999,False,19.94949494949495,10.101010101010102,False,2014,4.5,0.84,True,-12.0,-0.54,8.333333333333348,86.81318681318682,43.956043956043956,1.2711864406779663,22,56.49,18.133667180277353,True,True
2016,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,6,4.91,24.0,1.18,0.98,0.49,1.1784,0.0015999999999998,False,19.959266802443988,9.979633401221994,False,2015,3.96,0.91,True,23.989898989899004,0.9500000000000002,29.670329670329654,83.05084745762711,41.52542372881356,1.3296503913125897,22,61.019999999999996,16.524494272483548,True,True
2017,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,7,5.64,17.9,1.01,1.13,0.56,1.0095599999999998,0.0004400000000002,False,20.0354609929078,9.929078014184398,False,2016,4.91,1.18,True,14.867617107942955,0.7299999999999995,-14.406779661016945,111.88118811881186,55.44554455445545,1.3105611711397698,22,71.42,16.59579412106425,True,True
2018,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,8,6.46,20.7,1.34,1.29,0.65,1.33722,0.00278,False,19.96904024767802,10.061919504643964,False,2017,5.64,1.01,True,14.539007092198597,0.8200000000000003,32.67326732673268,96.26865671641791,48.507462686567166,1.356572868542629,21,77.11,16.19277614447711,True,True
2019,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,9,8.19,16.7,1.37,1.64,0.82,1.36773,0.0022700000000002,False,20.024420024420024,10.012210012210012,False,2018,6.46,1.34,True,26.78018575851393,1.7299999999999995,2.238805970149249,119.70802919708028,59.85401459854014,1.6543783456216543,20,88.03,17.782042217957784,True,True
