value_chain_group,country_iso3,revenue_usd_bn,companies,rank,share_of_geography_pct,share_of_top3_pct,year
Fabless,USA,342.53,9,1,61.60500710418877,63.78584729981378,2025
IDM,USA,132.55,6,2,23.839499289581127,24.683426443202983,2025
Equipment,USA,61.92,3,3,11.13649035089297,11.530726256983241,2025
IDM,KOR,143.83,2,1,87.56240107147205,87.56240107147205,2025
Foundry,KOR,20.43,1,2,12.437598928527942,12.437598928527942,2025
Foundry,TWN,116.28,2,1,86.19718309859155,86.19718309859155,2025
Fabless,TWN,18.62,1,2,13.802816901408452,13.802816901408452,2025
Equipment,NLD,38.79,1,1,71.99331848552339,71.99331848552339,2025
IDM,NLD,15.09,1,2,28.006681514476618,28.006681514476618,2025
IDM,CHN,13.370000000000001,2,1,36.75096206706982,36.75096206706982,2025
Foundry,CHN,12.48,2,2,34.304562946674,34.304562946674,2025
Fabless,CHN,10.53,1,3,28.94447498625618,28.94447498625618,2025
Equipment,JPN,20.56,2,1,66.30119316349564,66.30119316349564,2025
IDM,JPN,10.45,1,2,33.69880683650435,33.69880683650435,2025
IDM,EUR,15.85,1,1,100.0,100.0,2025
IDM,DEU,15.69,1,1,100.0,100.0,2025
Fabless,GBR,0.06,1,1,100.0,100.0,2025
