year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available,extreme_flag
2017,Hua Hong,1347,CHN,country,False,foundry,Foundry,Smart automobile expansion,False,2010,7,0.88,33.0,0.29,0.07,0.39,0.2904,0.0004,False,7.954545455,44.31818182,False,2016.0,0.76,0.31,True,15.78947368,0.12,-6.451612903,24.13793103,134.4827586,0.204484722,33,56.93,13.22876728,True,True,True
2015,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,5,5.2,55.7,2.89,1.3,0.1,2.8964,0.0064,False,25.0,1.923076923,False,2014.0,4.68,2.62,True,11.11111111,0.52,10.30534351,44.98269896,3.460207612,1.66923472,18,56.49,18.13366718,True,True,True
2016,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,6,6.49,58.3,3.78,1.62,0.13,3.78367,0.00367,False,24.9614792,2.003081664,False,2015.0,5.2,2.89,True,24.80769231,1.29,30.79584775,42.85714286,3.439153439,1.757521597,19,61.02,16.52449427,True,True,True
2017,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,7,8.24,59.6,4.91,2.06,0.16,4.91104,0.00104,False,25.0,1.941747573,False,2016.0,6.49,3.78,True,26.96456086,1.75,29.89417989,41.95519348,3.258655804,1.914720576,15,71.42,16.59579412,True,True,True
2018,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,8,9.75,51.3,5.01,2.44,0.2,5.00175,0.00825,False,25.02564103,2.051282051,False,2017.0,8.24,4.91,True,18.32524272,1.51,2.036659878,48.70259481,3.992015968,2.047459051,14,77.11,16.19277614,True,True,True
2019,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,9,12.67,60.0,7.6,3.17,0.25,7.602,0.002,False,25.01973165,1.973164957,False,2018.0,9.75,5.01,True,29.94871795,2.92,51.69660679,41.71052632,3.289473684,2.559337441,12,88.03,17.78204222,True,True,True
2020,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,10,17.59,54.5,9.58,4.4,0.35,9.58655,0.00655,False,25.01421262,1.989766913,False,2019.0,12.67,7.6,True,38.83188635,4.92,26.05263158,45.92901879,3.653444676,3.492227362,8,99.9,19.83362783,True,True,True
2021,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Smart automobile expansion,False,2010,11,21.6,59.4,12.83,5.4,0.43,12.8304,0.0004,False,25.0,1.990740741,False,2020.0,17.59,9.58,True,22.79704377,4.01,33.92484342,42.08885425,3.351519875,3.581911348,9,127.36,21.12001061,True,True,True
2022,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,Transition Year,False,2010,12,26.12,52.3,13.66,6.53,0.52,13.66076,0.00076,False,25.0,1.990811639,False,2021.0,21.6,12.83,True,20.92592593,4.52,6.469212783,47.80380673,3.806734993,3.745017635,9,154.83,22.19912253,True,True,True
2023,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,AI expansion,False,2010,13,62.09,58.8,36.52,15.52,1.24,36.50892,0.01108,False,24.99597359,1.997100982,False,2022.0,26.12,13.66,True,137.7105666,35.97,167.3499268,42.49726177,3.395399781,9.488805685,2,177.4,27.11087339,True,True,True
2024,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,AI expansion,False,2010,14,130.48,59.5,77.65,32.62,2.61,77.6356,0.0144,False,25.0,2.00030656,False,2023.0,62.09,36.52,True,110.1465614,68.39,112.6232202,42.00901481,3.361236317,15.74875379,1,284.01,34.27961038,True,True,True
2025,NVIDIA,NVDA,USA,country,False,fabless_gpu,Fabless,AI expansion,True,2010,15,192.19,64.2,123.43,48.05,3.84,123.38598,0.04402,True,25.0013008,1.99802279,False,2024.0,130.48,77.65,True,47.29460454,61.71,58.95685769,38.92894758,3.111075103,19.06571168,1,371.74,36.87750486,True,True,True
2023,Synopsys,SNPS,USA,country,False,eda_software,EDA Software,AI expansion,False,2010,13,5.71,35.0,2.0,2.0,0.06,1.9985,0.0015,False,35.0262697,1.050788091,False,2022.0,4.82,2.14,True,18.46473029,0.89,-6.542056075,100.0,3.0,0.872621686,28,9.74,1.488500038,True,True,True
