group,period,weighted_operating_margin
EDA Software,2015-2021,40.659340659340664
EDA Software,2022,41.486810551558754
EDA Software,2023-2025,38.66415804327376
Foundry,2015-2021,39.81998355619022
Foundry,2022,39.41313771257086
Foundry,2023-2025,39.959818930878384
Equipment,2015-2021,31.823031880286273
Equipment,2022,30.14600041126877
Equipment,2023-2025,31.407655940216568
Fabless,2015-2021,32.06440403901398
Fabless,2022,31.654072208228374
Fabless,2023-2025,42.54335953909861
IDM,2015-2021,27.26085669682496
IDM,2022,28.835903743652818
IDM,2023-2025,23.30264481260845
