year,revenue_usd_bn,entities,yoy_pct
2010,235.0,33,
2011,249.8,33,6.297872340425537
2012,266.67,33,6.753402722177748
2013,284.21999999999997,33,6.581167735403293
2014,292.77,33,3.0082330588980355
2015,311.52,33,6.404344707449527
2016,369.27,33,18.53813559322035
2017,430.35,34,16.540742546104493
2018,476.2,35,10.654118740559992
2019,495.05,37,3.9584208315833758
2020,503.69,40,1.7452782547217494
2021,603.03,40,19.72244833131489
2022,697.46,40,15.659254100127695
2023,654.35,40,-6.180999627218764
2024,828.51,40,26.615725529151057
2025,1008.04,40,21.66902028943525
