product,date,currency,unit,price,price_index
DRAM_DDR4_8Gb,2022-01-01,USD,USD/chip,3.93,100.0
DRAM_DDR4_8Gb,2022-02-01,USD,USD/chip,3.56,90.5852417302799
DRAM_DDR4_8Gb,2022-03-01,USD,USD/chip,3.75,95.41984732824427
DRAM_DDR4_8Gb,2022-04-01,USD,USD/chip,3.67,93.38422391857506
DRAM_DDR4_8Gb,2022-05-01,USD,USD/chip,3.82,97.20101781170483
DRAM_DDR4_8Gb,2022-06-01,USD,USD/chip,3.57,90.83969465648855
DRAM_DDR4_8Gb,2022-07-01,USD,USD/chip,3.26,82.95165394402034
DRAM_DDR4_8Gb,2022-08-01,USD,USD/chip,3.03,77.09923664122137
DRAM_DDR4_8Gb,2022-09-01,USD,USD/chip,2.98,75.82697201017811
DRAM_DDR4_8Gb,2022-10-01,USD,USD/chip,2.64,67.17557251908397
DRAM_DDR4_8Gb,2022-11-01,USD,USD/chip,2.28,58.01526717557252
DRAM_DDR4_8Gb,2022-12-01,USD,USD/chip,2.05,52.162849872773535
DRAM_DDR4_8Gb,2023-01-01,USD,USD/chip,1.7,43.25699745547074
DRAM_DDR4_8Gb,2023-02-01,USD,USD/chip,1.78,45.29262086513995
DRAM_DDR4_8Gb,2023-03-01,USD,USD/chip,1.58,40.20356234096692
DRAM_DDR4_8Gb,2023-04-01,USD,USD/chip,1.68,42.74809160305343
DRAM_DDR4_8Gb,2023-05-01,USD,USD/chip,1.58,40.20356234096692
DRAM_DDR4_8Gb,2023-06-01,USD,USD/chip,1.66,42.239185750636125
DRAM_DDR4_8Gb,2023-07-01,USD,USD/chip,1.39,35.36895674300254
DRAM_DDR4_8Gb,2023-08-01,USD,USD/chip,1.38,35.11450381679389
DRAM_DDR4_8Gb,2023-09-01,USD,USD/chip,1.64,41.730279898218825
DRAM_DDR4_8Gb,2023-10-01,USD,USD/chip,1.73,44.02035623409669
DRAM_DDR4_8Gb,2023-11-01,USD,USD/chip,1.74,44.27480916030534
DRAM_DDR4_8Gb,2023-12-01,USD,USD/chip,1.93,49.109414758269715
DRAM_DDR4_8Gb,2024-01-01,USD,USD/chip,2.05,52.162849872773535
