group,year,companies,valid_observations,median_margin,weighted_margin,q25,q75
Foundry,2015,6,6,39.85,40.90712742980561,39.225,40.550000000000004
Foundry,2016,6,6,40.25,41.72507788161993,38.8,40.650000000000006
Foundry,2017,6,6,38.15,38.20481292815739,37.025,39.8
Foundry,2018,6,6,38.9,38.76858435681965,38.425,40.95
Foundry,2019,6,6,40.25,40.07534048102,39.925,41.7
Foundry,2020,6,6,40.05,38.97408778424114,38.275,42.5
Foundry,2021,6,6,40.400000000000006,40.366155368629386,39.55,42.6
Foundry,2022,6,6,39.349999999999994,39.41313771257086,38.074999999999996,42.125
Foundry,2023,6,6,37.9,39.954597048808175,37.275000000000006,38.825
Foundry,2024,6,6,38.8,40.57373922331578,37.075,41.05
Fabless,2015,7,7,27.9,29.952203929899095,27.0,30.6
Fabless,2016,7,7,28.6,32.268108816781385,26.95,31.2
Fabless,2017,7,7,29.4,31.223746849621946,26.35,30.0
Fabless,2018,7,7,29.7,32.30450006484243,26.25,32.3
Fabless,2019,9,7,28.9,32.48892423037601,24.9,31.35
Fabless,2020,12,7,26.2,30.430430430430423,24.1,30.25
Fabless,2021,12,11,25.6,34.2179648241206,12.45,29.85
Fabless,2022,12,12,23.700000000000003,31.654072208228374,11.825,30.025
Fabless,2023,12,12,17.6,36.12175873731681,8.200000000000001,24.625
Fabless,2024,12,12,24.5,41.811908031407356,10.45,28.175
IDM,2015,12,12,20.5,21.14705712136119,18.25,30.3
IDM,2016,12,12,20.95,21.950644080592646,18.85,30.65
IDM,2017,13,13,24.1,22.189863689681676,19.9,26.9
IDM,2018,14,14,30.3,27.539454021941168,19.15,33.1
IDM,2019,14,14,34.099999999999994,32.19321053209801,22.625,39.2
IDM,2020,14,14,35.4,30.15774822146613,20.65,40.425
IDM,2021,14,14,37.05,31.690634864959673,20.025,41.475
IDM,2022,14,14,33.2,28.835903743652818,18.775000000000002,42.125
IDM,2023,14,14,22.2,21.58214536106567,13.925,26.65
IDM,2024,14,14,27.6,24.672996480977357,21.95,31.200000000000003
Equipment,2015,6,6,29.9,31.036642655809583,26.675,34.7
Equipment,2016,6,6,30.8,28.49409448818898,24.075,33.775
Equipment,2017,6,6,34.8,34.23945632620428,33.05,35.275
Equipment,2018,6,6,30.35,31.11766747657063,28.825,34.275
Equipment,2019,6,6,29.799999999999997,30.319959370238703,27.9,31.25
Equipment,2020,6,6,33.45,33.81397559816193,28.4,35.65
Equipment,2021,6,6,31.450000000000003,32.35186316432499,29.3,35.325
Equipment,2022,6,6,30.700000000000003,30.14600041126877,25.6,33.025
Equipment,2023,6,6,29.5,32.04773269689738,29.0,34.2
Equipment,2024,6,6,30.5,30.305410979082787,23.375,32.75
EDA Software,2015,2,2,40.5,40.64837905236908,40.45,40.55
EDA Software,2016,2,2,42.0,42.129629629629626,41.75,42.25
EDA Software,2017,2,2,38.9,38.607594936708864,38.349999999999994,39.45
EDA Software,2018,2,2,40.099999999999994,40.42145593869731,39.199999999999996,41.0
EDA Software,2019,2,2,41.5,41.296928327645055,41.25,41.75
EDA Software,2020,2,2,40.9,40.62499999999999,39.9,41.9
EDA Software,2021,2,2,40.7,40.80834419817471,40.5,40.9
EDA Software,2022,2,2,40.849999999999994,41.486810551558754,39.125,42.574999999999996
EDA Software,2023,2,2,38.3,37.78234086242299,36.65,39.95
EDA Software,2024,2,2,39.099999999999994,38.82466281310212,38.0,40.199999999999996
