year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,value_chain_group,analysis_period,source_validation_caution,first_observed_year,years_since_first_observation,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag,previous_year,previous_revenue_usd_bn,previous_operating_income_usd_bn,consecutive_year_flag,revenue_growth_pct,absolute_revenue_change_usd_bn,operating_income_growth_pct,rd_to_operating_income_pct,capex_to_operating_income_pct,revenue_share_within_dataset_pct,revenue_rank_within_year,value_chain_revenue_usd_bn,value_chain_revenue_share_pct,growth_calculation_available,investment_ratio_available,recomputed_margin_pct,margin_difference_pp,extreme_flag
2015,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,5,3.96,23.0,0.91,0.79,0.4,0.9108,0.0008,False,19.94949495,10.1010101,False,2014.0,4.5,0.84,True,-12.0,-0.54,8.333333333,86.81318681,43.95604396,1.271186441,22,56.49,18.13366718,True,True,22.97979797979798,0.020202020202020776,False
2016,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,6,4.91,24.0,1.18,0.98,0.49,1.1784,0.0016,False,19.9592668,9.979633401,False,2015.0,3.96,0.91,True,23.98989899,0.95,29.67032967,83.05084746,41.52542373,1.329650391,22,61.02,16.52449427,True,True,24.032586558044805,-0.03258655804480526,False
2017,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,7,5.64,17.9,1.01,1.13,0.56,1.00956,0.00044,False,20.03546099,9.929078014,False,2016.0,4.91,1.18,True,14.86761711,0.73,-14.40677966,111.8811881,55.44554455,1.310561171,22,71.42,16.59579412,True,True,17.907801418439718,-0.007801418439719043,False
2018,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,8,6.46,20.7,1.34,1.29,0.65,1.33722,0.00278,False,19.96904025,10.0619195,False,2017.0,5.64,1.01,True,14.53900709,0.82,32.67326733,96.26865672,48.50746269,1.356572869,21,77.11,16.19277614,True,True,20.743034055727556,-0.043034055727556364,False
2019,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,9,8.19,16.7,1.37,1.64,0.82,1.36773,0.00227,False,20.02442002,10.01221001,False,2018.0,6.46,1.34,True,26.78018576,1.73,2.23880597,119.7080292,59.8540146,1.654378346,20,88.03,17.78204222,True,True,16.72771672771673,-0.027716727716729395,False
2020,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,10,9.83,20.7,2.03,1.97,0.98,2.03481,0.00481,False,20.04069176,9.96948118,False,2019.0,8.19,1.37,True,20.02442002,1.64,48.17518248,97.04433498,48.27586207,1.951597213,17,99.9,19.83362783,True,True,20.65106815869786,0.04893184130213868,False
2021,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Smart automobile expansion,False,2010,11,18.01,25.6,4.62,3.6,1.8,4.61056,0.00944,False,19.98889506,9.994447529,False,2020.0,9.83,2.03,True,83.21464903,8.18,127.5862069,77.92207792,38.96103896,2.986584415,11,127.36,21.12001061,True,True,25.652415324819543,-0.05241532481954181,False
2022,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,Transition Year,False,2010,12,23.0,19.1,4.4,4.6,2.3,4.393,0.007,False,20.0,10.0,False,2021.0,18.01,4.62,True,27.70682954,4.99,-4.761904762,104.5454545,52.27272727,3.297680154,11,154.83,22.19912253,True,True,19.130434782608695,-0.030434782608693922,False
2023,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,False,2010,13,21.72,18.2,3.96,4.34,2.17,3.95304,0.00696,False,19.98158379,9.990791897,False,2022.0,23.0,4.4,True,-5.565217391,-1.28,-10.0,109.5959596,54.7979798,3.319324521,10,177.4,27.11087339,True,True,18.23204419889503,-0.0320441988950293,False
2024,AMD,AMD,USA,country,False,fabless_cpu_gpu,Fabless,AI expansion,False,2010,14,26.05,23.6,6.15,5.21,2.6,6.1478,0.0022,False,20.0,9.980806142,False,2023.0,21.72,3.96,True,19.93554328,4.33,55.3030303,84.71544715,42.27642276,3.144198622,10,284.01,34.27961038,True,True,23.608445297504797,-0.008445297504795946,False
2015,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,5,7.11,36.2,2.57,1.14,0.43,2.57382,0.00382,False,16.03375527,6.047819972,False,2014.0,6.71,2.1,True,5.961251863,0.4,22.38095238,44.35797665,16.73151751,2.282357473,9,31.93,10.24974319,True,True,36.14627285513361,0.05372714486639296,False
2016,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,6,8.21,34.6,2.84,1.31,0.49,2.84066,0.00066,False,15.95615104,5.968331303,False,2015.0,7.11,2.57,True,15.47116737,1.1,10.50583658,46.12676056,17.25352113,2.22330544,11,40.64,11.00549733,True,True,34.5919610231425,0.00803897685749888,False
2017,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,7,10.65,38.2,4.06,1.7,0.64,4.0683,0.0083,False,15.96244131,6.009389671,False,2016.0,8.21,2.84,True,29.71985384,2.44,42.95774648,41.87192118,15.7635468,2.474729871,10,50.03,11.62542117,True,True,38.12206572769953,0.07793427230047456,False
2018,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,8,12.38,35.1,4.35,1.98,0.74,4.34538,0.00462,False,15.99353796,5.977382876,False,2017.0,10.65,4.06,True,16.24413146,1.73,7.142857143,45.51724138,17.01149425,2.599748005,10,57.62,12.099958,True,True,35.1373182552504,-0.03731825525039767,False
2019,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,9,13.65,31.7,4.33,2.18,0.82,4.32705,0.00295,False,15.97069597,6.007326007,False,2018.0,12.38,4.35,True,10.25848142,1.27,-0.459770115,50.34642032,18.93764434,2.757297243,10,59.07,11.93212807,True,True,31.72161172161172,-0.02161172161171976,False
2020,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,10,16.17,36.1,5.84,2.59,0.97,5.83737,0.00263,False,16.01731602,5.998763142,False,2019.0,13.65,4.33,True,18.46153846,2.52,34.87297921,44.34931507,16.60958904,3.210307927,10,63.11,12.52953205,True,True,36.11626468769325,-0.01626468769325129,False
2021,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Smart automobile expansion,False,2010,11,20.79,38.3,7.96,3.33,1.25,7.96257,0.00257,False,16.01731602,6.012506013,False,2020.0,16.17,5.84,True,28.57142857,4.62,36.30136986,41.83417085,15.70351759,3.447589672,10,81.85,13.5731224,True,True,38.28763828763829,0.012361712361709465,False
2022,ASML,ASML,NLD,country,False,equipment_litho,Equipment,Transition Year,False,2010,12,23.9,31.3,7.47,3.82,1.43,7.4807,0.0107,False,15.9832636,5.983263598,False,2021.0,20.79,7.96,True,14.95911496,3.11,-6.155778894,51.13788487,19.14323963,3.426719812,10,97.26,13.94488573,True,True,31.255230125523013,0.044769874476987326,False
