,year,revenue_usd_bn,entities,yoy_pct
0,2010,235.0,33,
1,2011,249.8,33,6.297872340425537
2,2012,266.67,33,6.753402722177748
3,2013,284.21999999999997,33,6.581167735403293
4,2014,292.77,33,3.0082330588980355
5,2015,311.52,33,6.404344707449527
6,2016,369.27,33,18.53813559322035
7,2017,430.35,34,16.540742546104493
8,2018,476.2,35,10.654118740559992
9,2019,495.05,37,3.9584208315833758
10,2020,503.69,40,1.7452782547217494
11,2021,603.03,40,19.72244833131489
12,2022,697.46,40,15.659254100127695
13,2023,654.35,40,-6.180999627218764
14,2024,828.51,40,26.615725529151057
15,2025,1008.04,40,21.66902028943525
