company_name,revenue_2022,revenue_2024,value_chain_group,absolute_change_usd_bn
SMIC,7.09,8.2,Foundry,1.1099999999999994
ChangXin Memory (CXMT),3.1,5.07,IDM,1.9700000000000002
Yangtze Memory (YMTC),4.12,6.62,IDM,2.5
AMD,23.0,26.05,Fabless,3.0500000000000007
HiSilicon (Huawei),1.97,9.12,Fabless,7.1499999999999995
ASML,23.9,31.81,Equipment,7.91
TSMC,74.93,88.89,Foundry,13.959999999999994
SK Hynix,34.69,51.53,IDM,16.840000000000003
Broadcom,33.5,54.34,Fabless,20.840000000000003
NVIDIA,26.12,130.48,Fabless,104.35999999999999
