year,company_name,ticker,country_iso3,geo_code_type,country_code_review_flag,segment,analysis_period,source_validation_caution,revenue_usd_bn,operating_margin_pct,operating_income_usd_bn,rd_spend_usd_bn,capex_usd_bn,calculated_operating_income_usd_bn,operating_income_abs_diff_usd_bn,operating_income_review_flag,rd_intensity_pct,capex_intensity_pct,zero_revenue_flag
2010,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,13.42,36.9,4.95,1.07,6.04,4.95198,0.0019799999999996487,False,7.97317436661699,45.007451564828614,False
2011,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,16.32,42.8,6.99,1.31,7.35,6.98496,0.0050400000000001555,False,8.026960784313726,45.03676470588235,False
2012,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,17.56,36.1,6.34,1.4,7.9,6.33916,0.0008400000000001739,False,7.972665148063782,44.98861047835992,False
2013,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,21.36,39.1,8.34,1.71,9.61,8.35176,0.011760000000000659,False,8.00561797752809,44.990636704119844,False
2014,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,23.93,37.4,8.96,1.91,10.77,8.949819999999999,0.010180000000001854,False,7.98161303802758,45.006268282490595,False
2015,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,27.31,42.3,11.56,2.18,12.29,11.55213,0.007870000000000488,False,7.98242402050531,45.00183083119737,False
2016,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,29.19,43.4,12.66,2.34,13.14,12.66846,0.008459999999999468,False,8.016443987667008,45.01541623843782,False
2017,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,32.11,37.4,12.02,2.57,14.45,12.00914,0.010859999999999204,False,8.003737153534724,45.00155714730613,False
2018,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,34.58,37.1,12.84,2.77,15.56,12.82918,0.010820000000000718,False,8.01041064198959,44.9971081550029,False
2019,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,40.91,39.9,16.3,3.27,18.41,16.323089999999997,0.02308999999999628,True,7.993155707650942,45.00122219506233,False
2020,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,45.25,38.0,17.18,3.62,20.36,17.195,0.015000000000000568,False,8.0,44.99447513812155,False
2021,TSMC,TSM,TWN,country,False,foundry,Smart automobile expansion,False,62.97,39.5,24.9,5.04,28.34,24.87315,0.026849999999999596,True,8.00381133873273,45.00555820231856,False
2022,TSMC,TSM,TWN,country,False,foundry,Transition Year,False,74.93,38.9,29.18,5.99,33.72,29.14777,0.03222999999999843,True,7.994127852662484,45.00200186841051,False
2023,TSMC,TSM,TWN,country,False,foundry,AI expansion,False,70.42,41.1,28.94,5.63,31.69,28.94262,0.0026200000000002888,False,7.994887815961374,45.00142005112184,False
2024,TSMC,TSM,TWN,country,False,foundry,AI expansion,False,88.89,41.3,36.71,7.11,40.0,36.711569999999995,0.001569999999993854,False,7.998650016874789,44.99943750703116,False
2025,TSMC,TSM,TWN,country,False,foundry,AI expansion,True,108.13,38.8,41.93,8.65,48.66,41.95444,0.024439999999998463,True,7.999630074909832,45.00138721908814,False
2026,TSMC,TSM,TWN,country,False,foundry,AI expansion,True,113.25,37.6,42.53,9.06,50.96,42.582,0.0519999999999996,True,8.0,44.99779249448124,False
2010,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,3.06,43.4,1.33,0.24,1.38,1.32804,0.0019599999999999618,False,7.8431372549019605,45.09803921568627,False
2011,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,3.69,37.5,1.38,0.29,1.66,1.38375,0.003750000000000142,False,7.8590785907859075,44.986449864498645,False
2012,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,4.29,42.0,1.8,0.34,1.93,1.8018,0.0018000000000000238,False,7.925407925407926,44.988344988344984,False
2013,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,5.21,41.6,2.17,0.42,2.35,2.1673600000000004,0.0026399999999995316,False,8.061420345489443,45.10556621880998,False
2014,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,5.69,40.7,2.31,0.45,2.56,2.31583,0.005830000000000002,False,7.9086115992970125,44.991212653778554,False
2015,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,6.52,40.7,2.65,0.52,2.94,2.6536399999999998,0.0036399999999998656,False,7.9754601226993875,45.0920245398773,False
2016,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,8.55,40.7,3.48,0.68,3.85,3.4798500000000008,0.00014999999999920632,False,7.953216374269005,45.02923976608187,False
2017,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,10.38,40.2,4.17,0.83,4.67,4.17276,0.0027600000000003178,False,7.996146435452793,44.99036608863198,False
2018,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,12.1,41.9,5.07,0.97,5.45,5.0699,0.00010000000000065512,False,8.016528925619834,45.041322314049594,False
2019,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,12.78,39.0,4.99,1.02,5.75,4.9841999999999995,0.0058000000000006935,False,7.981220657276995,44.99217527386541,False
2020,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,14.49,38.1,5.52,1.16,6.52,5.520690000000001,0.0006900000000014117,False,8.00552104899931,44.996549344375424,False
2021,Samsung Foundry,5930,KOR,country,False,foundry,Smart automobile expansion,False,16.46,44.5,7.32,1.32,7.41,7.3247,0.004699999999999704,False,8.019441069258809,45.01822600243013,False
2022,Samsung Foundry,5930,KOR,country,False,foundry,Transition Year,False,18.03,42.9,7.73,1.44,8.11,7.73487,0.004869999999999486,False,7.9866888519134775,44.98058790904048,False
2023,Samsung Foundry,5930,KOR,country,False,foundry,AI expansion,False,12.36,39.0,4.82,0.99,5.56,4.820399999999999,0.00039999999999906777,False,8.009708737864079,44.983818770226534,False
2024,Samsung Foundry,5930,KOR,country,False,foundry,AI expansion,False,18.09,41.8,7.55,1.45,8.14,7.56162,0.011619999999999742,False,8.015478164731896,44.99723604201217,False
2025,Samsung Foundry,5930,KOR,country,False,foundry,AI expansion,True,20.43,42.4,8.66,1.63,9.19,8.66232,0.0023199999999992116,False,7.978463044542339,44.98286833088595,False
2026,Samsung Foundry,5930,KOR,country,False,foundry,AI expansion,True,21.77,38.6,8.41,1.74,9.8,8.40322,0.006780000000000896,False,7.99265043638034,45.016077170418015,False
2010,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,3.59,39.4,1.42,0.29,1.62,1.41446,0.005539999999999878,False,8.07799442896936,45.12534818941505,False
2011,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,3.66,36.6,1.34,0.29,1.65,1.33956,0.00043999999999999595,False,7.923497267759562,45.08196721311475,False
2012,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,3.99,41.5,1.65,0.32,1.79,1.65585,0.005850000000000133,False,8.020050125313283,44.86215538847117,False
2013,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,4.42,42.1,1.86,0.35,1.99,1.86082,0.0008199999999998209,False,7.918552036199094,45.022624434389144,False
2014,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,4.64,40.5,1.88,0.37,2.09,1.8792,0.0007999999999999119,False,7.974137931034483,45.043103448275865,False
2015,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,5.09,39.1,1.99,0.41,2.29,1.9901900000000001,0.0001900000000001345,False,8.055009823182711,44.9901768172888,False
2016,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,5.47,38.0,2.08,0.44,2.46,2.0786,0.00140000000000029,False,8.043875685557587,44.972577696526514,False
2017,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,5.74,38.9,2.23,0.46,2.58,2.23286,0.0028600000000000847,False,8.013937282229964,44.947735191637626,False
2018,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,5.98,41.5,2.48,0.48,2.69,2.4817,0.0017000000000000348,False,8.026755852842808,44.98327759197324,False
2019,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,5.47,40.0,2.19,0.44,2.46,2.1879999999999997,0.002000000000000224,False,8.043875685557587,44.972577696526514,False
2020,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,4.97,41.3,2.06,0.4,2.24,2.0526099999999996,0.007390000000000452,False,8.048289738430585,45.07042253521127,False
2021,GlobalFoundries,GFS,USA,country,False,foundry,Smart automobile expansion,False,6.63,39.7,2.63,0.53,2.98,2.63211,0.0021100000000000563,False,7.99396681749623,44.94720965309201,False
2022,GlobalFoundries,GFS,USA,country,False,foundry,Transition Year,False,8.0,39.8,3.18,0.64,3.6,3.1839999999999997,0.0039999999999995595,False,8.0,45.0,False
2023,GlobalFoundries,GFS,USA,country,False,foundry,AI expansion,False,7.03,35.7,2.51,0.56,3.17,2.50971,0.0002899999999996794,False,7.965860597439544,45.092460881934564,False
2024,GlobalFoundries,GFS,USA,country,False,foundry,AI expansion,False,6.54,37.0,2.42,0.52,2.94,2.4198,0.00019999999999997797,False,7.951070336391437,44.95412844036697,False
2025,GlobalFoundries,GFS,USA,country,False,foundry,AI expansion,True,7.24,37.3,2.7,0.58,3.26,2.7005199999999996,0.0005199999999994098,False,8.011049723756905,45.02762430939226,False
2026,GlobalFoundries,GFS,USA,country,False,foundry,AI expansion,True,7.42,43.9,3.26,0.59,3.34,3.25738,0.0026199999999998447,False,7.951482479784366,45.01347708894878,False
2010,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.35,42.2,1.84,0.35,1.96,1.8356999999999999,0.0043000000000001926,False,8.045977011494253,45.05747126436782,False
2011,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.32,39.4,1.7,0.35,1.94,1.70208,0.002080000000000082,False,8.101851851851851,44.907407407407405,False
2012,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.35,39.0,1.7,0.35,1.96,1.6964999999999997,0.0035000000000002807,False,8.045977011494253,45.05747126436782,False
2013,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.64,34.8,1.61,0.37,2.09,1.6147199999999997,0.004719999999999613,False,7.974137931034483,45.043103448275865,False
2014,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.62,40.7,1.88,0.37,2.08,1.8803400000000001,0.000340000000000229,False,8.008658008658008,45.02164502164502,False
2015,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.52,35.7,1.61,0.36,2.03,1.61364,0.0036399999999998656,False,7.964601769911504,44.911504424778755,False
2016,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.71,38.4,1.81,0.38,2.12,1.80864,0.0013600000000000279,False,8.067940552016985,45.010615711252655,False
2017,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,4.83,40.1,1.94,0.39,2.18,1.9368300000000003,0.003169999999999673,False,8.074534161490684,45.134575569358184,False
2018,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,5.14,39.3,2.02,0.41,2.31,2.0200199999999997,1.9999999999686935e-05,False,7.976653696498054,44.94163424124514,False
2019,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,5.29,40.5,2.14,0.42,2.38,2.14245,0.0024500000000000632,False,7.9395085066162565,44.990548204158785,False
2020,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,6.04,44.1,2.66,0.48,2.72,2.6636400000000005,0.0036400000000003097,False,7.9470198675496695,45.033112582781456,False
2021,UMC,UMC,TWN,country,False,foundry,Smart automobile expansion,False,7.69,41.1,3.16,0.62,3.46,3.1605900000000005,0.0005900000000003125,False,8.062418725617684,44.99349804941482,False
2022,UMC,UMC,TWN,country,False,foundry,Transition Year,False,9.4,36.4,3.43,0.75,4.23,3.4216,0.008399999999999963,False,7.978723404255319,45.0,False
2023,UMC,UMC,TWN,country,False,foundry,AI expansion,False,6.87,37.2,2.56,0.55,3.09,2.5556400000000004,0.0043599999999996975,False,8.005822416302767,44.97816593886463,False
2024,UMC,UMC,TWN,country,False,foundry,AI expansion,False,7.41,35.9,2.66,0.59,3.34,2.66019,0.00018999999999991246,False,7.962213225371119,45.07422402159244,False
2025,UMC,UMC,TWN,country,False,foundry,AI expansion,True,8.15,39.3,3.21,0.65,3.67,3.20295,0.007050000000000001,False,7.975460122699387,45.030674846625764,False
2026,UMC,UMC,TWN,country,False,foundry,AI expansion,True,8.13,37.0,3.01,0.65,3.66,3.0081,0.0018999999999995687,False,7.995079950799508,45.01845018450184,False
2010,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,1.62,42.5,0.69,0.13,0.73,0.6885000000000001,0.0014999999999998348,False,8.024691358024691,45.06172839506172,False
2011,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,1.83,48.7,0.89,0.15,0.82,0.8912100000000001,0.0012100000000000444,False,8.19672131147541,44.8087431693989,False
2012,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,1.86,37.0,0.69,0.15,0.84,0.6882,0.0017999999999999128,False,8.064516129032258,45.16129032258064,False
2013,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,1.84,40.8,0.75,0.15,0.83,0.75072,0.0007200000000000539,False,8.152173913043477,45.10869565217391,False
2014,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,2.03,38.8,0.79,0.16,0.91,0.7876399999999998,0.002360000000000251,False,7.881773399014779,44.827586206896555,False
2015,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,2.16,39.6,0.85,0.17,0.97,0.8553600000000001,0.005360000000000142,False,7.87037037037037,44.907407407407405,False
2016,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,2.68,40.5,1.09,0.21,1.21,1.0854000000000001,0.0045999999999999375,False,7.835820895522387,45.14925373134328,False
2017,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,2.99,36.9,1.1,0.24,1.34,1.10331,0.003309999999999924,False,8.026755852842808,44.81605351170568,False
2018,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,3.23,38.5,1.25,0.26,1.46,1.24355,0.006450000000000067,False,8.04953560371517,45.20123839009288,False
2019,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,3.64,45.3,1.65,0.29,1.64,1.64892,0.0010799999999999699,False,7.967032967032966,45.05494505494505,False
2020,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,3.92,42.9,1.68,0.31,1.76,1.6816799999999998,0.0016799999999999038,False,7.908163265306123,44.89795918367347,False
2021,SMIC,981,CHN,country,False,foundry,Smart automobile expansion,False,5.52,36.4,2.01,0.44,2.48,2.0092799999999995,0.000720000000000276,False,7.971014492753624,44.92753623188406,False
2022,SMIC,981,CHN,country,False,foundry,Transition Year,False,7.09,37.8,2.68,0.57,3.19,2.6800199999999994,1.9999999999242846e-05,False,8.039492242595205,44.99294781382229,False
