year,vendor,estimated_revenue_usd_m,estimated_shipments_units,revenue_share_within_ai_dataset_pct,company_name,revenue_usd_bn,_merge
2020,Google,11.2,747,1.8663556073987668,,,left_only
2020,Huawei,16.2,1077,2.699550074987502,,,left_only
2020,NVIDIA,572.7,38182,95.43409431761374,NVIDIA,17.59,both
2021,AMD,0.3,23,0.009565716472163763,AMD,18.01,both
2021,Cambricon,0.5,32,0.015942860786939607,,,left_only
2021,Google,7.6000000000000005,509,0.24233148396148205,,,left_only
2021,Huawei,12.2,812,0.3890058032013264,,,left_only
2021,NVIDIA,3115.6000000000004,207709,99.34315413557809,NVIDIA,21.6,both
2022,AMD,15.4,1030,0.67455102934735,AMD,23.0,both
2022,AWS,0.0,0,0.0,,,left_only
2022,Cambricon,15.6,1041,0.683311432325887,,,left_only
2022,Google,20.299999999999997,1355,0.8891809023215066,,,left_only
2022,Huawei,5.1,337,0.2233902759526938,,,left_only
2022,NVIDIA,2226.6,148441,97.52956636005256,NVIDIA,26.12,both
2023,AMD,10.7,713,0.04531766838478511,AMD,21.72,both
2023,AWS,2737.8,182522,11.595393691949972,,,left_only
2023,Cambricon,12.7,846,0.05378826060624028,,,left_only
2023,Google,914.1,60941,3.8714841748160818,,,left_only
2023,Huawei,477.9,31863,2.0240480113167107,,,left_only
2023,NVIDIA,19454.0,713955,82.39345053809436,NVIDIA,62.09,both
2023,SambaNova,3.9,258,0.016517654831837564,SambaNova,0.1,both
2024,AMD,7518.200000000001,417148,6.845967105994025,AMD,26.05,both
2024,AWS,1671.6,111438,1.5221354332658894,,,left_only
2024,Apple,2.6,174,0.0023675234066112185,,,left_only
2024,Cambricon,5.7,381,0.005190339776032287,,,left_only
2024,Cerebras,570.0,228,0.5190339776032287,,,left_only
2024,Google,11431.3,1081514,10.409180891536469,,,left_only
2024,Groq,130.6,8709,0.11892252188593275,Groq,0.48,both
2024,Huawei,4981.7,330970,4.536265905659657,,,left_only
2024,NVIDIA,83456.79999999999,2950087,75.99458747725812,NVIDIA,130.48,both
2024,SambaNova,49.7,3312,0.04525612050329906,SambaNova,0.37,both
2024,Tenstorrent,1.2,81,0.0010927031107436393,Tenstorrent,0.31,both
2025,AMD,7812.5,422440,6.945197612541095,AMD,33.17,both
2025,AWS,2008.9,133924,1.7858825579307271,,,left_only
2025,Apple,16.9,1129,0.015023851475448895,,,left_only
2025,Cambricon,2.2,146,0.0019557676476915724,,,left_only
2025,Cerebras,2790.0,1116,2.4802689713906756,,,left_only
2025,Google,7379.700000000001,1012704,6.560444777122498,,,left_only
2025,Groq,387.7,25845,0.34465959864091933,Groq,1.27,both
2025,Huawei,4195.0,265514,3.729293310030066,,,left_only
2025,NVIDIA,87834.0,3009128,78.0831343487916,NVIDIA,192.19,both
2025,SambaNova,48.0,3199,0.04267129413145248,SambaNova,0.9,both
2025,Tenstorrent,12.9,861,0.011467910297827856,Tenstorrent,0.74,both
2026,AMD,3809.5,203128,5.389197837813367,AMD,39.38,both
2026,AWS,1555.5,103702,2.200524277915394,,,left_only
2026,Apple,23.7,1585,0.03352775659697515,,,left_only
2026,Cambricon,2.6,173,0.0036781505127483284,,,left_only
2026,Cerebras,1865.0,746,2.6383656562598587,,,left_only
2026,Google,3601.6,577824,5.095087264120915,,,left_only
2026,Groq,376.3,25084,0.5323415530566139,Groq,1.96,both
2026,Huawei,2019.4,123890,2.8567912097861443,,,left_only
2026,NVIDIA,57404.8,1897249,81.20903636700587,NVIDIA,250.68,both
2026,SambaNova,16.1,1070,0.022776239713556957,SambaNova,1.45,both
2026,Tenstorrent,13.2,883,0.018673687218568435,Tenstorrent,1.16,both
