year,financial_revenue_usd_bn,financial_company_count,estimated_shipments_units,estimated_revenue_usd_m,product_count,vendor_count,zero_asp_rows,recorded_events
2010,235.0,33,,,,,,
2011,249.8,33,,,,,,
2012,266.67,33,,,,,,
2013,284.21999999999997,33,,,,,,
2014,292.77,33,,,,,,
2015,311.52,33,,,,,,
2016,369.27,33,,,,,,
2017,430.35,34,,,,,,
2018,476.2,35,,,,,,1.0
2019,495.05,37,,,,,,2.0
2020,503.69,40,40006.0,600.1,4.0,3.0,0.0,3.0
2021,603.03,40,209085.0,3136.2000000000003,7.0,5.0,0.0,1.0
2022,697.46,40,152204.0,2283.0,8.0,6.0,0.0,4.0
2023,654.35,40,991098.0,23611.1,15.0,7.0,1.0,7.0
2024,828.51,40,4904042.0,109819.4,26.0,11.0,2.0,6.0
2025,1008.04,40,4876006.0,112487.8,30.0,11.0,2.0,7.0
2026,1150.73,40,2935334.0,70687.7,30.0,11.0,2.0,3.0
