year,capacity_category,fab_type,reported_monthly_wafer_capacity,records,companies
2011,Fabrication,logic_mature,0,1,1
2012,Fabrication,logic_mature,68869,2,2
2013,Fabrication,logic_mature,188774,3,3
2014,Fabrication,logic_mature,342705,4,4
2015,Fabrication,logic_mature,445412,8,6
2016,Fabrication,logic_mature,647051,9,7
2017,Fabrication,logic_mature,818760,11,8
2018,Fabrication,logic_leading,0,2,2
2018,Fabrication,logic_mature,1043202,13,9
2018,Fabrication,memory_DRAM,0,2,2
2019,Fabrication,logic_leading,75550,2,2
2019,Fabrication,logic_mature,1106149,14,10
2019,Fabrication,memory_DRAM,330104,3,3
2020,Fabrication,logic_leading,151425,5,3
2020,Fabrication,logic_mature,1185164,17,11
2020,Fabrication,memory_DRAM,932080,5,4
2020,Fabrication,memory_NAND,0,1,1
2021,Fabrication,logic_leading,334819,5,3
2021,Fabrication,logic_mature,1275378,17,11
2021,Fabrication,memory_DRAM,1631298,5,4
2021,Fabrication,memory_NAND,67775,1,1
2022,Fabrication,logic_leading,459095,7,3
2022,Fabrication,logic_mature,1372585,17,11
2022,Fabrication,logic_mature_300mm,0,1,1
2022,Fabrication,memory_DRAM,1887500,5,4
2022,Fabrication,memory_NAND,138619,1,1
2023,Fabrication,logic_leading,633247,9,4
2023,Fabrication,logic_mature,1385927,17,11
2023,Fabrication,logic_mature_300mm,24000,1,1
2023,Fabrication,memory_DRAM,1987820,5,4
2023,Fabrication,memory_NAND,192066,1,1
2024,Fabrication,logic_leading,709925,12,4
2024,Fabrication,logic_mature,1379835,18,11
2024,Fabrication,logic_mature_300mm,53218,1,1
2024,Fabrication,memory_DRAM,1950226,6,4
2024,Fabrication,memory_NAND,208976,1,1
2025,Fabrication,logic_leading,995352,12,4
2025,Fabrication,logic_mature,1505715,18,11
2025,Fabrication,logic_mature_300mm,92822,1,1
2025,Fabrication,memory_DRAM,2247572,6,4
2025,Fabrication,memory_NAND,196067,1,1
2026,Fabrication,logic_leading,1104956,14,4
2026,Fabrication,logic_mature,1548889,19,11
2026,Fabrication,logic_mature_300mm,88584,1,1
2026,Fabrication,memory_DRAM,2415682,7,4
2026,Fabrication,memory_NAND,223641,1,1
2026,Packaging,memory_HBM_packaging,69344,1,1
