year,company,capacity_category,fab_type,reported_monthly_wafer_capacity
2011,TSMC,Fabrication,logic_mature,0
2012,Intel,Fabrication,logic_mature,0
2012,TSMC,Fabrication,logic_mature,68869
2013,Intel,Fabrication,logic_mature,51425
2013,TSMC,Fabrication,logic_mature,137349
2013,UMC,Fabrication,logic_mature,0
2014,GlobalFoundries,Fabrication,logic_mature,0
2014,Intel,Fabrication,logic_mature,93744
2014,TSMC,Fabrication,logic_mature,215975
2014,UMC,Fabrication,logic_mature,32986
2015,GlobalFoundries,Fabrication,logic_mature,9732
2015,Intel,Fabrication,logic_mature,152668
2015,NXP,Fabrication,logic_mature,0
2015,Samsung,Fabrication,logic_mature,0
2015,TSMC,Fabrication,logic_mature,215031
2015,UMC,Fabrication,logic_mature,67981
2016,GlobalFoundries,Fabrication,logic_mature,20467
2016,Intel,Fabrication,logic_mature,198033
2016,NXP,Fabrication,logic_mature,11620
2016,SMIC,Fabrication,logic_mature,0
2016,Samsung,Fabrication,logic_mature,51020
2016,TSMC,Fabrication,logic_mature,258654
2016,UMC,Fabrication,logic_mature,107257
2017,GlobalFoundries,Fabrication,logic_mature,27320
2017,Intel,Fabrication,logic_mature,217596
2017,NXP,Fabrication,logic_mature,26356
2017,SMIC,Fabrication,logic_mature,20178
2017,STMicroelectronics,Fabrication,logic_mature,0
2017,Samsung,Fabrication,logic_mature,102867
2017,TSMC,Fabrication,logic_mature,323533
2017,UMC,Fabrication,logic_mature,100910
2018,GlobalFoundries,Fabrication,logic_mature,32927
2018,Infineon,Fabrication,logic_mature,0
2018,Intel,Fabrication,logic_mature,249366
2018,Micron,Fabrication,memory_DRAM,0
2018,NXP,Fabrication,logic_mature,39625
2018,SMIC,Fabrication,logic_mature,40586
2018,STMicroelectronics,Fabrication,logic_mature,20555
2018,Samsung,Fabrication,logic_leading,0
2018,Samsung,Fabrication,logic_mature,164423
2018,Samsung Memory,Fabrication,memory_DRAM,0
2018,TSMC,Fabrication,logic_leading,0
2018,TSMC,Fabrication,logic_mature,390217
2018,UMC,Fabrication,logic_mature,105503
2019,GlobalFoundries,Fabrication,logic_mature,48172
2019,Infineon,Fabrication,logic_mature,15735
2019,Intel,Fabrication,logic_mature,248463
2019,Micron,Fabrication,memory_DRAM,59542
2019,NXP,Fabrication,logic_mature,39160
2019,Renesas,Fabrication,logic_mature,0
2019,SK Hynix,Fabrication,memory_DRAM,0
2019,SMIC,Fabrication,logic_mature,64587
2019,STMicroelectronics,Fabrication,logic_mature,41831
2019,Samsung,Fabrication,logic_leading,32917
2019,Samsung,Fabrication,logic_mature,148485
2019,Samsung Memory,Fabrication,memory_DRAM,270562
2019,TSMC,Fabrication,logic_leading,42633
2019,TSMC,Fabrication,logic_mature,375944
2019,UMC,Fabrication,logic_mature,123772
2020,CXMT,Fabrication,memory_DRAM,0
2020,GlobalFoundries,Fabrication,logic_mature,63489
2020,Hua Hong,Fabrication,logic_mature,0
2020,Infineon,Fabrication,logic_mature,34541
2020,Intel,Fabrication,logic_leading,0
2020,Intel,Fabrication,logic_mature,244353
2020,Micron,Fabrication,memory_DRAM,132067
2020,NXP,Fabrication,logic_mature,42217
2020,Renesas,Fabrication,logic_mature,15723
2020,SK Hynix,Fabrication,memory_DRAM,200909
2020,SMIC,Fabrication,logic_mature,63793
2020,STMicroelectronics,Fabrication,logic_mature,54297
2020,Samsung,Fabrication,logic_leading,58889
2020,Samsung,Fabrication,logic_mature,152847
2020,Samsung Memory,Fabrication,memory_DRAM,599104
2020,TSMC,Fabrication,logic_leading,92536
2020,TSMC,Fabrication,logic_mature,383313
