year,country_iso3,capacity_category,fab_type,reported_monthly_wafer_capacity
2011,TWN,Fabrication,logic_mature,0
2012,TWN,Fabrication,logic_mature,68869
2012,USA,Fabrication,logic_mature,0
2013,TWN,Fabrication,logic_mature,137349
2013,USA,Fabrication,logic_mature,51425
2014,TWN,Fabrication,logic_mature,248961
2014,USA,Fabrication,logic_mature,93744
2015,KOR,Fabrication,logic_mature,0
2015,NLD,Fabrication,logic_mature,0
2015,TWN,Fabrication,logic_mature,283012
2015,USA,Fabrication,logic_mature,162400
2016,CHN,Fabrication,logic_mature,0
2016,KOR,Fabrication,logic_mature,51020
2016,NLD,Fabrication,logic_mature,11620
2016,TWN,Fabrication,logic_mature,365911
2016,USA,Fabrication,logic_mature,218500
2017,CHN,Fabrication,logic_mature,20178
2017,ITA,Fabrication,logic_mature,0
2017,KOR,Fabrication,logic_mature,102867
2017,NLD,Fabrication,logic_mature,26356
2017,TWN,Fabrication,logic_mature,424443
2017,USA,Fabrication,logic_mature,244916
2018,CHN,Fabrication,logic_mature,40586
2018,DEU,Fabrication,logic_mature,0
2018,ITA,Fabrication,logic_mature,20555
2018,KOR,Fabrication,logic_leading,0
2018,KOR,Fabrication,logic_mature,164423
2018,KOR,Fabrication,memory_DRAM,0
2018,NLD,Fabrication,logic_mature,39625
2018,TWN,Fabrication,logic_leading,0
2018,TWN,Fabrication,logic_mature,495720
2018,TWN,Fabrication,memory_DRAM,0
2018,USA,Fabrication,logic_mature,282293
2019,CHN,Fabrication,logic_mature,64587
2019,DEU,Fabrication,logic_mature,32990
2019,ITA,Fabrication,logic_mature,41831
2019,JPN,Fabrication,logic_mature,0
2019,KOR,Fabrication,logic_leading,32917
2019,KOR,Fabrication,logic_mature,148485
2019,KOR,Fabrication,memory_DRAM,270562
2019,NLD,Fabrication,logic_mature,39160
2019,TWN,Fabrication,logic_leading,42633
2019,TWN,Fabrication,logic_mature,499716
2019,TWN,Fabrication,memory_DRAM,59542
2019,USA,Fabrication,logic_mature,279380
2020,CHN,Fabrication,logic_mature,63793
2020,CHN,Fabrication,memory_DRAM,0
2020,CHN,Fabrication,memory_NAND,0
2020,DEU,Fabrication,logic_mature,68303
2020,ITA,Fabrication,logic_mature,54297
2020,JPN,Fabrication,logic_mature,15723
2020,KOR,Fabrication,logic_leading,58889
2020,KOR,Fabrication,logic_mature,152847
2020,KOR,Fabrication,memory_DRAM,800013
2020,NLD,Fabrication,logic_mature,42217
2020,TWN,Fabrication,logic_leading,92536
2020,TWN,Fabrication,logic_mature,513904
2020,TWN,Fabrication,memory_DRAM,132067
2020,USA,Fabrication,logic_leading,0
2020,USA,Fabrication,logic_mature,274080
2020,USA,Fabrication,memory_DRAM,0
2021,CHN,Fabrication,logic_mature,87135
2021,CHN,Fabrication,memory_DRAM,38786
2021,CHN,Fabrication,memory_NAND,67775
2021,DEU,Fabrication,logic_mature,98787
2021,ITA,Fabrication,logic_mature,55159
2021,JPN,Fabrication,logic_mature,36855
2021,KOR,Fabrication,logic_leading,124163
2021,KOR,Fabrication,logic_mature,139265
2021,KOR,Fabrication,memory_DRAM,1300364
2021,NLD,Fabrication,logic_mature,42470
2021,TWN,Fabrication,logic_leading,182795
2021,TWN,Fabrication,logic_mature,529265
2021,TWN,Fabrication,memory_DRAM,198378
2021,USA,Fabrication,logic_leading,27861
2021,USA,Fabrication,logic_mature,286442
2021,USA,Fabrication,memory_DRAM,93770
2022,CHN,Fabrication,logic_mature,130597
2022,CHN,Fabrication,memory_DRAM,79909
2022,CHN,Fabrication,memory_NAND,138619
2022,DEU,Fabrication,logic_mature,98582
2022,DEU,Fabrication,logic_mature_300mm,0
2022,ITA,Fabrication,logic_mature,60634
2022,JPN,Fabrication,logic_mature,47658
2022,KOR,Fabrication,logic_leading,162984
2022,KOR,Fabrication,logic_mature,159199
2022,KOR,Fabrication,memory_DRAM,1398645
2022,NLD,Fabrication,logic_mature,39660
2022,TWN,Fabrication,logic_leading,242053
2022,TWN,Fabrication,logic_mature,526502
2022,TWN,Fabrication,memory_DRAM,222097
2022,USA,Fabrication,logic_leading,54058
